Time,Used,Committed,Max
45438.759569,20001392,34795520,109576192
45438.759616,19160864,34795520,109576192
45438.759663,27626760,34795520,109576192
45438.759709,25864072,34795520,109576192
45438.759755,23324912,34795520,109576192
45438.759801,21743992,34795520,109576192
45438.759848,20278312,34795520,109576192
45438.759894,26366280,34795520,109576192
45438.759940,25188144,34795520,109576192
45438.759986,23608888,34795520,109576192
45438.760033,21877424,34795520,109576192
45438.760079,20457784,34795520,109576192
45438.760125,18832040,34795520,109576192
45438.760172,26879368,34795520,109576192
45438.760218,25333632,34795520,109576192
45438.760264,23986944,34795520,109576192
45438.760311,22429440,34795520,109576192
45438.760357,20886176,34795520,109576192
45438.760404,19550712,34795520,109576192
45438.760450,26697392,34795520,109576192
45438.760496,25032352,34795520,109576192
45438.760543,23539064,34795520,109576192
45438.760589,21948432,34795520,109576192
45438.760635,20533384,34795520,109576192
45438.760681,19317800,34795520,109576192
45438.760728,27535464,34795520,109576192
45438.760774,26173400,34795520,109576192
45438.760820,24432264,34795520,109576192
45438.760867,23120416,34795520,109576192
45438.760913,21609272,34795520,109576192
45438.760960,20009728,34795520,109576192
45438.761006,28504744,34795520,109576192
45438.761052,26740040,34795520,109576192
45438.761099,25389848,34795520,109576192
45438.761145,23028248,34795520,109576192
45438.761191,21423224,34795520,109576192
45438.761238,19992960,34795520,109576192
45438.761284,28628344,34795520,109576192
45438.761330,27143784,34795520,109576192
45438.761377,25683280,34795520,109576192
45438.761423,23783584,34795520,109576192
45438.761470,22083608,34795520,109576192
45438.761516,20934096,34795520,109576192
45438.761562,19141416,34795520,109576192
45438.761609,26811064,34795520,109576192
45438.761655,25493568,34795520,109576192
45438.761701,24174504,34795520,109576192
45438.761748,22762584,34795520,109576192
45438.761794,21064040,34795520,109576192
45438.761841,25846960,34795520,109576192
45438.761887,20100832,34795520,109576192
45438.761933,28197024,34795520,109576192
45438.761979,26671536,34795520,109576192
45438.762026,25240272,34795520,109576192
45438.762072,27054088,34795520,109576192
45438.762118,25726720,34795520,109576192
45438.762165,24207256,34795520,109576192
45438.762211,22609368,34795520,109576192
45438.762257,21367376,34795520,109576192
45438.762304,19534768,34795520,109576192
45438.762350,27612888,34795520,109576192
45438.762396,26569952,34795520,109576192
45438.762443,24904592,34795520,109576192
45438.762489,23736968,34795520,109576192
45438.762535,20832760,34795520,109576192
45438.762581,28707648,34795520,109576192
45438.762628,27360368,34795520,109576192
45438.762674,25719400,34795520,109576192
45438.762720,24264280,34795520,109576192
45438.762767,22856648,34795520,109576192
45438.762813,21433736,34795520,109576192
